git_commit_hash,git_repo_hash,git_repo_url,cve_ids
3e645d6b485446c54c6745c5e2cf5c528fe4deec,a638b9d8b0cc462574084db432b69bcd3cc025f324a3a863b80111807afc1d92,git://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git,CVE-2010-2963
9bf292bfca94694a721449e3fd752493856710f6,a638b9d8b0cc462574084db432b69bcd3cc025f324a3a863b80111807afc1d92,git://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git,CVE-2016-5728
4bbdf555f88baeae0fa804a369a81a83908bd705,b1c40f03e391d3478f3fe42ec3631c1df15db4f4071674306cf15fbbd7e761d2,https://github.com/libguestfs/hivex.git,CVE-2014-9273
55f635745afacefffdaafc72cc176ca7ab817546,93fbfa3276c9ac4383cd774fef76439f549c5d489fe3757ceb8ef111d0ae62aa,https://git.torproject.org/tor.git,CVE-2012-3518
743f0c916469f3129dfae406fa104dc46782e20b,12ba1182a4ed26b802402aba23d1703eb252c56895381b9ae92be74282e4134c,https://github.com/nodejs/node.git,CVE-2016-7099
a08d3b3b99efd509133946056531cdf8f3a0c09b,688aba50d16120480693f13ad37259c9bc84d93596388234a08d3098744f4b0e,https://github.com/torvalds/linux.git,CVE-2014-0049
257578a23d1537a2d235aaa2b1488ee4f818e360,c7ebdc701af879d22834c7c5c4517a25f718e225ffdd3543400001766ee1186c,https://github.com/abrt/libreport.git,CVE-2015-5302
f1063fdbe7fa66332bbb76874101c2a7b51b519f,1d542e1f3577f21ce044977d4476aee4dce5f86698a7389d2027afefcd414a2c,git://git.gnome.org/libxml2,CVE-2015-7500
6b0d6a9b4296fa16a28d10d416db7a770fc03287,a638b9d8b0cc462574084db432b69bcd3cc025f324a3a863b80111807afc1d92,git://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git,CVE-2011-0716
a2d399c87a642190f08ede63dc6fc434a5a8363a,a2319d79039c246310c3489d9e479cd39c42ecdc995d57e07d9ba75f29fe705a,git://sourceware.org/git/systemtap.git,CVE-2010-0411
b6454268a067fc77ff5de82057b5b53b3cc38b87,d68f27319cbf77202525ef4fe7bfa4cd2661db9150703566a8be100a8b0d709f,https://github.com/SUSE-Cloud/barclamp-deployer.git,CVE-2012-3537
3cd416b667,76f50c8913529f61ab0b7fb29017a64cd7ef068f625141fb5e020f0b56cfc36e,https://github.com/owncloud/core.git,CVE-2012-5610
2c13e97d656c1c0ac4d76eb9d307664aae0e0cf7,76c1db4c00f3da0bc62dd3a387bc09cbf439d745b5e941222e942a9fe72a0369,https://github.com/wireshark/wireshark.git,CVE-2016-5358
aa7c8da54b1ebd4ccb64aa66dede7b7cdb381c44,724c80555efe60336eea918308599b35d05d523d8c1c486fd43aa5eaae2c372e,https://github.com/kraih/mojo.git,CVE-2010-4802
6160968cee8b90a5dd95318d716e31d7775c4ef3,688aba50d16120480693f13ad37259c9bc84d93596388234a08d3098744f4b0e,https://github.com/torvalds/linux.git,CVE-2013-4205
93d17397e4e2182fdaad503e2f9da46202c0f1c3,a638b9d8b0cc462574084db432b69bcd3cc025f324a3a863b80111807afc1d92,git://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git,CVE-2016-5412
87c48fa3b4630905f98268dde838ee43626a060c,688aba50d16120480693f13ad37259c9bc84d93596388234a08d3098744f4b0e,https://github.com/torvalds/linux.git,CVE-2011-2699
e40f193f5bb022e927a57a4f5d5194e4f12ddb74,a638b9d8b0cc462574084db432b69bcd3cc025f324a3a863b80111807afc1d92,git://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git,CVE-2013-4592
7fa6db2545643efb4fe2e0bb501fa50af35a6330,35c9bf1765760d0f1b94fc8839e693569e5bda6ed4de52cab9631f66f18b0c37,https://git.videolan.org/git/ffmpeg.git,CVE-2013-3672
ee73f656a604d5aa9df86a97102e4e462dd79924,688aba50d16120480693f13ad37259c9bc84d93596388234a08d3098744f4b0e,https://github.com/torvalds/linux.git,CVE-2015-3214
c2349758acf1874e4c2b93fe41d072336f1a31d0,688aba50d16120480693f13ad37259c9bc84d93596388234a08d3098744f4b0e,https://github.com/torvalds/linux.git,CVE-2013-7339
95464495f1e3e714d5c295fe621af5d2e0d4238d,bb627b01f8853173c1e224a53705c723dec2fd260916b2534b0cd5067c17b97e,https://github.com/fatfreecrm/fat_free_crm.git,CVE-2014-5441
bc1731dbb53850c380875ad683cd87c8ec99eee3,eeaabf26dfad1cb96a15d996c45b84dc604fb8bfbb7c8d2e2de17e408618d6fa,https://github.com/avar/Plack.git,CVE-2014-5269
7ca19df892ca22d9314e95d59ce2abdeff46b617,2a22ae6451cef62899f679bc1f4b7c47c8e4f55e8b2c19e5ec3f9b2d63d83f3a,git://git.gnome.org/libxslt,CVE-2015-7995
6a54435560efdab1a08f429a954df4d6c740bddf,a638b9d8b0cc462574084db432b69bcd3cc025f324a3a863b80111807afc1d92,git://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git,CVE-2009-3638
785f4e2711848eb8945894199d5870253a88584e,79f51fcdb563acbbc6b6eb7206e852f925ebf687053186fbd38ba929e523952b,https://github.com/phpmyadmin/phpmyadmin.git,CVE-2015-6830
d1c9191949747f6dcfd207831d15dd4ba00e31f2,9da7a032697766cda88b41968a549da4aad6c134e5b9c58974f85b746bf2dbe9,git://git.gnome.org/librsvg,CVE-2016-4348
cd2a424,f53ccae7ed9597a242e523d74b7806b6c47a797254fd57c2d600c7bb9e2de82f,git://git.drupal.org/project/fancy_slide.git,CVE-2012-2068
5c3fcae78b63ac9dd56e36075903921bd9461f9e,255a408cddc195bc3dfe5f4155eda2f47f52583475c9f58af36abcbc93b1afb3,https://github.com/lxc/lxc.git,CVE-2015-1334
a8170c35e738d62e9919ce5b109cf4ed66e95bde,a638b9d8b0cc462574084db432b69bcd3cc025f324a3a863b80111807afc1d92,git://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git,CVE-2011-1573
9f4e392c97ce42744ec73f82268ce6c815fdca0e,aa25584e2a99a4a22502b511985e1684ef153df7f1be06674186ef84e3b0b309,git://oss.sgi.com/pcp/pcp.git,CVE-2012-3418
cbdb967af3d54993f5814f1cee0ed311a055377d,688aba50d16120480693f13ad37259c9bc84d93596388234a08d3098744f4b0e,https://github.com/torvalds/linux.git,CVE-2015-8104
a134f083e79fb4c3d0a925691e732c56911b4326,688aba50d16120480693f13ad37259c9bc84d93596388234a08d3098744f4b0e,https://github.com/torvalds/linux.git,CVE-2015-3636
bc779a1a5b3035133024b21e2f339fe4219fb11c,2f6e78a7f448afe88c9074f987c9c121566181e0325cc7c1a07c4f9a87d42007,git://sourceware.org/git/glibc.git,CVE-2016-4429
ca78784,9961a727e238173ba355298c2368c383cdb2e8edb414a7fbe205fcdab609f351,https://github.com/silverstripe/sapphire.git,CVE-2011-4959
df4d92549f23e1c037e83323aff58a21b3de7fe0,a638b9d8b0cc462574084db432b69bcd3cc025f324a3a863b80111807afc1d92,git://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git,CVE-2015-1465
759c01142a5d0f364a462346168a56de28a80f52,688aba50d16120480693f13ad37259c9bc84d93596388234a08d3098744f4b0e,https://github.com/torvalds/linux.git,CVE-2016-2847
5ec03cb174513844c410ee7fba594c544ba80ce2,3d867cbe38e80f49fd70c61ecd83095e3b11b4fd6d7e6450c7d7961c588de73e,https://github.com/NaCl-Ltd/pref-shimane-cms.git,CVE-2015-5659
61cc74fbb87af6aa551a06a370590c9bc07e29d9,688aba50d16120480693f13ad37259c9bc84d93596388234a08d3098744f4b0e,https://github.com/torvalds/linux.git,CVE-2012-0879
b35cc8225845112a616e3a2266d2fde5ab13d3ab,688aba50d16120480693f13ad37259c9bc84d93596388234a08d3098744f4b0e,https://github.com/torvalds/linux.git,CVE-2012-6703
06f882f30092a39a1db867c9744b2ca8d60e4ad6,6491d33a257a2026b85145956b658fc944ae9eb67e520d96209a42eae42b18f8,git://git.altlinux.org/people/ldv/packages/pam.git,CVE-2010-3435;CVE-2010-3316
89f464e9c229006e16f6bb5403c5529fdd0a9edd,35c9bf1765760d0f1b94fc8839e693569e5bda6ed4de52cab9631f66f18b0c37,https://git.videolan.org/git/ffmpeg.git,CVE-2016-2329
a89f62e2db9ccf715d64d1a6322474b54d2d9ae0,7433d112843717adf8fb9330cdb8b394c3c76dabb4bb466602eb165054c3cc0d,git://git.ganeti.org/ganeti.git,CVE-2014-5247
83a4b92815ea04969d494416eaae3d4c6b338e4a,3cc36f0f3f30615f521abacbbea18f7d4209961ca55e4e1bcbce7a8a19da9797,https://github.com/vadz/libtiff.git,CVE-2016-9533;CVE-2016-9534;CVE-2016-9537;CVE-2016-9536
fe2d895ea8eb8b8ccad5a3319f472e45d6ba5136,337eac8c3f25ca0c71570ecb0ccd1ecef099a76de5ea6bf59f2e8ef868733cdf,https://github.com/rodnaph/sockso.git,CVE-2012-4267
c5544d289233f501917e25970c03ed444abbd4f0,5bcc14d8b70c83cc7775c996631beeb5447f59449f7b75c1a6b1987b258d4365,https://github.com/django/django.git,CVE-2016-2512
038d74771d3b5c13d13b738b73dfda1033a99f65,63eae99038ade4646623f7ff079d303534fba3d7e3fcb281a7d4dd5d43d1ec0e,https://github.com/spree/spree_auth_devise.git,CVE-2013-2506
229e4c133287955d5f3f837520a3602709b21950,35c9bf1765760d0f1b94fc8839e693569e5bda6ed4de52cab9631f66f18b0c37,https://git.videolan.org/git/ffmpeg.git,CVE-2012-2779
20e1db19db5d6b9e4e83021595eab0dc8f107bef,688aba50d16120480693f13ad37259c9bc84d93596388234a08d3098744f4b0e,https://github.com/torvalds/linux.git,CVE-2012-6689
6fe51a9ab04fd28bbc171da3cf12f1c1040d6629,40a5cba3eaee808bf51cf393f294592fe58be9f7675607c4919411ea51272572,git://git.openldap.org/openldap.git,CVE-2015-6908
6ff72ae40c7c20ece939afb362d98cc37f4a1c96,dda88bb83db61bdc6ec84a866c1d3eb342117ca6d5a3a207edfbed8214f26a81,https://github.com/libgd/libgd.git,CVE-2016-6128
f3747379accba8e95d70cec0eae0582c8c182050,a638b9d8b0cc462574084db432b69bcd3cc025f324a3a863b80111807afc1d92,git://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git,CVE-2015-0239
f59b67ae50064560d7bfcdb0d6a8ab284179053c,e72b5bbc90fbdd3a5499b7829f0841fccb907cd21702feccce9384ad7fc6a776,https://git.php.net/repository/php-src.git,CVE-2015-3329
1bc04ec95038f2356ad33752090001bf1c047208,79f51fcdb563acbbc6b6eb7206e852f925ebf687053186fbd38ba929e523952b,https://github.com/phpmyadmin/phpmyadmin.git,CVE-2014-8958
27df6f25ff218072e0e879a96beeb398a79cdbc8,a638b9d8b0cc462574084db432b69bcd3cc025f324a3a863b80111807afc1d92,git://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git,CVE-2008-3911
a67db4586f70ed881d65e80035b2a25be195ce64,0683875246280a50b00d346b092ec1ac4f9778260c6dd2b96d02ca3865ec3a9d,https://github.com/openstack/nova.git,CVE-2012-2101
030e2c78d3a91dd0d27fef37e91950dde333eba1,688aba50d16120480693f13ad37259c9bc84d93596388234a08d3098744f4b0e,https://github.com/torvalds/linux.git,CVE-2016-2543
9955ac47f4ba1c95ecb6092aeaefb40a22e99268,688aba50d16120480693f13ad37259c9bc84d93596388234a08d3098744f4b0e,https://github.com/torvalds/linux.git,CVE-2013-4220
a4f1bac62564049ea4718c4624b0fadc9f597c84,a638b9d8b0cc462574084db432b69bcd3cc025f324a3a863b80111807afc1d92,git://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git,CVE-2005-2456
bcd4ce8cba1272fca52f2331c08f2e3ac19cbbef,79f51fcdb563acbbc6b6eb7206e852f925ebf687053186fbd38ba929e523952b,https://github.com/phpmyadmin/phpmyadmin.git,CVE-2016-2561
8275cdd0e7ac550dcce2b3ef6d2fb3b808c1ae59,688aba50d16120480693f13ad37259c9bc84d93596388234a08d3098744f4b0e,https://github.com/torvalds/linux.git,CVE-2015-0274
5bdf54b5a76b54fb00bd05f2d733e0a4173eefc9,054b3b817930521be27974aaaf020e5710879016f652209922af97d6c01e7e58,https://github.com/python-pillow/Pillow.git,CVE-2016-2533
80f74451f628264d1d9a1f1c0bbcebc932ba5e00,f2077c4380af279ed103bf949c6b99d2835af44e98dedf0d07f4e47fb7da1162,https://github.com/darold/squidclamav.git,CVE-2012-3501
7285477ab11831b1cf56e45878a89170dd06d9b9,675b69521c0ac9b02408f78326ac1c0c56240235bdc09e1b03b16a573fc4358f,https://github.com/bonzini/qemu.git,CVE-2011-3346
7d267278a9ece963d77eefec61630223fce08c6c,688aba50d16120480693f13ad37259c9bc84d93596388234a08d3098744f4b0e,https://github.com/torvalds/linux.git,CVE-2013-7446
5632c35d6759f5e13a7dfe78e4ee6403ff6a8e3e,16955711e6687e8324d1bfa18dcfc285a43491df2298a03395c5c4e6e7d652b7,https://github.com/mumble-voip/mumble.git,CVE-2012-0863
78ce088843d59d4494965bfc40b30a2e63d065f6,d77f677c372ff03a79e74377b3c36dc5d346d38835279f0b5127af37b56f3913,git://anongit.freedesktop.org/NetworkManager/NetworkManager,CVE-2011-1943
629e4da7cc8b174acdeab84969cbfc606a019b31,e72b5bbc90fbdd3a5499b7829f0841fccb907cd21702feccce9384ad7fc6a776,https://git.php.net/repository/php-src.git,CVE-2016-6288
1922756124ddd53846877416d92ba4a802bc658f,a638b9d8b0cc462574084db432b69bcd3cc025f324a3a863b80111807afc1d92,git://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git,CVE-2011-1013
41131cd41d2fd2e0c2f332a27988df75659c42e4,e72b5bbc90fbdd3a5499b7829f0841fccb907cd21702feccce9384ad7fc6a776,https://git.php.net/repository/php-src.git,CVE-2016-6292
49adc5d3f8c6bb75e55ebfeab109c5c37dea65e8,9aacd5458def8c0abdd241cb9acbbc45d118885c781ada0b92febd4d1e72d707,git://git.qemu.org/qemu.git,CVE-2016-7156
6d7e13da0f998820800ecb3fe9ccee4189aefb54,bf79a2b414fdb86df04200d806974041ba61d29cdc388e70d40cd96c895ff482,https://github.com/bottlepy/bottle.git,CVE-2016-9964
